id_entrega,id_cliente,id_restaurante,id_zona,fecha_operacion,cantidad_items,distancia_km,costo_pedido,descuento_pct,canal,metodo_pago,calificacion,tiempo_entrega_min,observacion
1,79,4,5,2026-05-07,2,0.75,23.79,8,WHATSAPP,Yape,4,21.08,Cliente frecuente
2,74,9,1,2026-05-10,1,,27.67,10,Presencial,Efectivo,2,22.67,Promocion
3,76,9,1,2026-06-13,5,5.89,27.67,15,Presencial,Yape, 2 ,19.49,Revisar
4,84,9,6,2026-05-21, 5 ,13.31,27.67,0,Presencial,Yape,2,53.73,OK
5,31,4,6,2026-01-28,6,12.97,23.79,0,Web,Tarjeta,1,46.21,
6,9,1,4,2026-06-18,6 aprox, 7.27 ,40.61,5,  Web ,Plin,4,33.39,
7,17,3,4, 2026-02-25 ,1 aprox,5.73,46.58,0,WhatsApp,Plin,5,33.65,OK
8,21,7,4,2026-04-17,1, 7.64 ,38.69,,,Plin,2,30.23,
9,39,7,7,2026-01-18,1,9.1,38.69,0,Telefono,Transferencia,4,,Cliente frecuente
10,51,4,7,2026-05-21,2,7.94,23.79,,App,Efectivo,2,35.6,
11,49,9,6,2026-04-15,,"11,1",27.67 aprox,8,ApP,  Transferencia ,5, 31.18 ,ReViSaR
12,76,8,5,02/06/2026,3,10.27,21.16,15,Telefono,Efectivo,2,,Revisar
13,29,4,7,2026-01-04,6,,23.79,15,ApP,,1,45.37,
14,12,5,3,2026-05-11,8,7.72,S/ 31.56,8,Presencial,EfEcTiVo,3,40.43,Cliente frecuente
15,29,3,7,2026-04-27,6,12.72,46.58,0,  Web ,Yape,2,44.09,
16,14,6,7,2026-04-02, 3 ,13.59,53.09,10,Web,Efectivo,1,53.57,Revisar
17,27,2,4,2026-05-24,2,3.92,63.63,15,TELEFONO,Yape,1,23.64,Promocion
18,52,3,4,2026-06-07,4,11.06,46.58,10,Telefono,,4,38.63,Revisar
19,76,2,2,2026-05-08,2,6.85,63.63,10,App,Yape,1,30.61,
20,79,3,3,,7,"10,33",46.58,0,telefono,Yape,2,46.25,Promocion
21,1,3,6,2026-02-28,2, 6.81 ,46.58,15,Telefono,Efectivo,4,33.9,Revisar
22,34,8,3,2026-04-15,2,11.15,,0,Telefono,Plin,1,33.62,Revisar
23,34,4,5,2026-05-16,1,10.55,23.79,8,App,Transferencia,2,33.78,Cliente frecuente
24,47,5,3,2026-06-14,6,8.29,31.56,0,App,Yape,5,38.69,Promocion
25,28,1,4,2026-02-03,3,2.29,40.61,8,ApP,Tarjeta,1, 18.42 ,Cliente frecuente
26,31,2,7,2026-05-26,3,9.5,63.63,20,TELEFONO,Transferencia,5,34.64,Promocion
27,49,9,4,2026-01-10,5 aprox,11.1,27.67,0,Presencial,Plin,5,34.9,REVISAR
28,47,2,6,2026-03-17,,1.06,"63,63",10,Telefono,,4,20.54,Revisar
29,11,8,5,2026-03-20,4,34.75 aprox,21.16,0,Telefono,Plin,3,95.83,Cliente frecuente
30,59,6,3,2026-03-11,7,10.97,53.09,20,Presencial,transferencia,,40.53 aprox,Promocion
31,71,3,4,2026-03-26,5,7.29,46.58,20,presencial,Transferencia,3,28.52,Cliente frecuente
32,77,2,6,2026-01-17,4,13.19,63.63,15,WhatsApp,Transferencia,3,S/ 32.13,
33,70,1,1,2026-01-11,3,13.44,40.61,5,App,Plin,1, 46.97 ,Promocion
34,8,7,1,2026-06-11,7,0.92,38.69,20,Presencial,Tarjeta,5,S/ 17.33,
35,50,6,7,2026-01-04,1,,53.09,0,App,Tarjeta,1,24.54,Promocion
36,38,7,1,2026-06-21,7,"5,95",38.69,10,presencial,Yape, 5 ,37.58,
37,75,2,4,2026-04-09,5,4.08,63.63,8,WhatsApp,Yape,5,21.22,ClIeNtE FrEcUeNtE
38,4,1,5,2026-06-23,2,11.6 aprox,40.61,10,Web,TaRjEtA,3,41.61,
39,68,8,6,2026-01-25,5,7.42,21.16,15,App,Plin,5,20.86,OK
40,39,1,3,2026-02-07,2,8.38,40.61,15,,Tarjeta,5,36.66,Revisar
41,30,1,6,2026-06-28,5,3.38,40.61,20,  App ,YAPE,4,10.88,Promocion
42,71,8,5,2026-02-26,3,6.7,S/ 21.16,12,Telefono,Yape,4,"31,81",Promocion
43,45,5,1,2026-05-09,8,2.23,31.56,0,Telefono,Transferencia,2,39.4,PrOmOcIoN
44,67,5,7,2026-05-06,5,13.33,S/ 31.56,0,Telefono,Plin,2,39.8,Cliente frecuente
45,60,7,6,2026-02-25,2,2.32,38.69 aprox,0,WhatsApp,Transferencia,2,20.42,
46,26,5,6,2026-01-09,8,6.27,31.56,12,WhatsApp,Yape,1,26.59,Revisar
47,76,3,2,2026-02-03,1,4.54,46.58,10,Presencial,Transferencia,3,24.25,
48,55,6,5,2026-01-13,8,"10,1",53.09,10,Telefono,Plin,3,34.21,
49,27,1,3,05/02/2026,8,8.49,40.61,5,WhatsApp,Transferencia,3,39.38,Cliente frecuente
50,10,1,6,2026-05-04,3,10.78,40.61,0,,Yape,5,36.5,Revisar
51,77,8,7,2026-02-11,7,6.92,21.16, 0 ,  App ,Yape,2,28.25,Promocion
52,84,7,6,2026-01-10,7,1.17,38.69,20,WhAtSaPp,  Yape ,5,21.88,Revisar
53,74,9,2,2026-04-11,3,6.32,27.67,0,TeLeFoNo,Efectivo,2,43.15,Revisar
54,16,2,7,2026-04-12,5,8.04,63.63,10,Presencial,Plin,5,36.26,Cliente frecuente
55,77,2,4,2026-01-07,2,8.38,63.63,12,App,Transferencia,2,31.43,Cliente frecuente
56,24,9,1,2026-04-16,5,14.34,,10,Telefono,Efectivo,1,S/ 50.97,Cliente frecuente
57,50,2,4,2026/05/14,6,5.1,63.63,0,Telefono,Transferencia,2,,Cliente frecuente
58,40,1,3,2026-05-10,8,1.24,40.61,0,Telefono,Transferencia,1,27.68,
59,75,6,2,2026-01-01,8,2.11,53.09,8,Presencial,Efectivo,5,17.26,
60,30,6,3,11-02-2026,6,4.41,53.09,10,,Transferencia,2,23.37,
61,27,2,4,2026-02-11, 5 ,8.34,63.63,0 aprox,App,Yape,1,40.49,
62,17,5,6,2026-06-23,3,13.85,31.56,0,App,Yape,4,54.27,Revisar
63,19,9,7,2026-06-16,6,11.51,27.67,0 aprox,Presencial,Yape,2,44.31,Promocion
64,73,4,5,2026-03-23,7,2.05 aprox,23.79,20,Web,Plin,3,14.69,OK
65,12,5,1,2026-06-22,1,4.38,31.56,20,WhatsApp,Transferencia,2,18.38,Revisar
66,21,7,4,2026-04-17,1, 7.64 ,38.69,,,Plin,2,30.23,
67,40,2,2,17/04/2026,4,8.14,63.63,8,Telefono,Yape,1,22.21,OK
68,33,8,2,2026-01-04,3 aprox, 1.28 ,21.16,20,Web,Transferencia,3,9.47,Revisar
69,84,3,7,2026-06-10,5,9.9,46.58,0,Presencial,Tarjeta,4,46.78,OK
70,82,8,4,2026-02-19,7,4.66,21.16,0,Presencial,Plin,,30.94,Revisar
71,9,6,2, 2026-01-20 ,3,10.15,53.09,0,WhatsApp,Tarjeta,3,43.47,
72,10,7,4,2026-05-27,4,6.16,38.69,8,App,Yape, 1 ,18.31,
73,24,7,5,2026-05-20,3,,38.69,8,Web,Yape,2,49.25,Revisar
74,17,3,2,2026-05-09,5,10.15,46.58,0,Web,Yape,2,43.97,OK
75,4,4,3,2026-05-05,1, 5.77 ,23.79,0,Telefono,Efectivo,1,24.58,
76,42,9,6,2026-05-27,7,1.36,27.67,12,Telefono,,5,30.74,
77,52,5,1,2026-02-20,3,"1,25",31.56,10,  Presencial ,Tarjeta,2,19.13,
78,76,4,2,2026-03-13,6,11.53 aprox,23.79,8,Telefono,Efectivo,1,47.47,OK
79,56,4,3,2026-04-19,8,"13,55",23.79,20,WEB,Plin,1,44.94 aprox,OK
80,18,8,1,2026-04-01,5,5.67, 21.16 ,15,,Tarjeta,1,33.34,
81,50,6,7,2026-01-04,1,,53.09,0,App,Tarjeta,1,24.54,Promocion
82,51,3,6,2026-02-06,2,1.94,46.58,15,WhatsApp,Tarjeta,5,16.33,Cliente frecuente
83,52,2,4,2026-04-05,6,14.58,63.63,12,Web,Transferencia,5,44.7,
84,81,6,7,2026-01-11,1 aprox,11.95,53.09,15,Telefono,Yape,5,38.45,Revisar
85,15,9,1,2026-05-07,3,14.9,27.67,0,Telefono,Yape,2,49.28,Revisar
86,1,2,7,2026/02/24,3,"14,49",63.63,15,WhatsApp,Efectivo,2,47.24,OK
87,2,5,2,20/06/2026,8,13.61,31.56,0,Telefono,Transferencia,1,53.25,OK
88,55,9,1,2026-03-16,5,2.44,27.67,12,Presencial,TrAnSfErEnCiA,1,24.84,revisar
89,33,6,5,2026-06-11,8 aprox,9.73,53.09,12 aprox,WhAtSaPp,Efectivo,2,38.39,
90,60,1,5,2026-03-15,3,7.66,40.61,0,WEB,Plin,5,27.81,Cliente frecuente
91,42,3,4,2026-01-05,3,9.36,46.58,8,Presencial,PLIN,3,37.84,Cliente frecuente
92,69,7,1,2026-04-21,6,9.64,38.69,15,Telefono,Tarjeta,5,36.58,Revisar
93,82,5,6,2026/01/14,8,7.5,31.56,12,App,  Efectivo ,3,45.71,Cliente frecuente
94,2,9,3,2026-06-06,2,4.35,27.67,12,Presencial,Yape,4,34.75,Revisar
95,33,4,3,2026-02-10,2,1.74,23.79,15,Telefono,Plin,5,10.62,Cliente frecuente
96,78,6,5,2026-02-09,2,1.19,53.09,8,Presencial,,3,S/ 18.48,OK
97,61,2,6,2026-05-14,5,14.75,63.63,5,Telefono,Plin,3,49.22,
98,21,9,4,2026-01-25,6,13.87,27.67,20,,PlIn,5,41.73,Cliente frecuente
99,81,4,4,2026-02-25,6,3.2,23.79,5,Telefono,Transferencia,4,24.45,
100,16,5,7,2026-06-17,3,13.14,31.56,15,Web,,1,49.89,Cliente frecuente
101,64,7,1,2026-02-03,8,14.29,38.69,15,WEB,Yape,5,62.67,Cliente frecuente
102,21,8,7,2026-03-18,3,6.57 aprox,21.16,8,Presencial,Yape,4,34.52,Promocion
103,1,6,3,2026-05-19,8 aprox,10.73,53.09,20,Telefono,Transferencia,3,46.84,Revisar
104,50,7,4,2026-03-24,2,11.46,38.69, 20 ,Web,YAPE,2,33.85,Cliente frecuente
105,82,4,6,12/01/2026,2,11.16,23.79,5,presencial,Efectivo,5,36.44 aprox,Cliente frecuente
106,51,4,5,2026-02-06,6,8.08,23.79,5,App,Plin,4,41.01,Revisar
107,4,7,6,2026-01-08,5,7.34,"38,69",0,Presencial,Transferencia,2,34.89,
108,49,1,3, 2026-03-11 ,8 aprox,14.59,40.61,12,  App ,Efectivo,5,45.26,cliente frecuente
109,43,4,7,2026-03-12,1,13.23, 23.79 ,8,Web,Efectivo,2 aprox,38.37,Promocion
110,38,4,7,,4,3.04,23.79, 0 ,Web,Tarjeta,5,28.78,
111,28,6,6,2026-02-07,6,2.45,53.09,10,Web,Efectivo,1,33.56,
112,54,1,5,2026-01-01,1,5.91,40.61,0,App,Yape,3,31.43,OK
113,31,3,7,08/01/2026,3,13.8,46.58,0,Telefono,  Yape ,3,S/ 51.59,Revisar
114,47,6,2,2026-06-14,7,6.27,53.09, 10 ,Telefono,Plin,1,31.76,Cliente frecuente
115,55,4,6,2026-01-01,7,12.04,23.79,0,Telefono,PlIn,3,,
116,77,8,6,2026-06-21,,4.84,"21,16",15,WhatsApp,TARJETA,3,28.21,
117,3,5,7,2026-05-11,1, 10.22 ,31.56,0,Telefono,Tarjeta,1,37.34,OK
118,27,7,6,10-06-2026,4,3.38,38.69,20,Web,Yape,3,19.94,
119,2,6,4,2026-03-20,6,6.44,53.09,0,Presencial,Efectivo,1,31.69,
120,75,8,3,2026-01-17,8,5.53 aprox,21.16,10,Telefono,Plin,3,34.04,Promocion
121,42,1,7,2026-05-03,6,10.28,S/ 40.61, 0 ,Web,Tarjeta,4,38.02,Cliente frecuente
122,28,6,7,2026-03-16,6,0.81, 53.09 ,20,WhatsApp,Transferencia,1,19.53,Revisar
123,34,7,6,2026-06-27,4,14.56,38.69,20,Web,Transferencia,,50.06,Cliente frecuente
124,65,9,2,2026-05-27,3,4.69,,5,Telefono,plin,5, 22.91 ,
125,76,9,4,2026-02-28,6,1.76,27.67,0,Web,Plin,5,30.98,
126,55,3,5,2026-05-19,6,10.74,46.58,12,App,  Transferencia ,1,39.39,
127,69,3,5, 2026-05-06 ,5,12.94,46.58,12,WhatsApp,Transferencia,5,49.02,Cliente frecuente
128,16,8,3,2026-06-21,1,3.49,21.16,10,Web,Efectivo,5, 22.72 ,Revisar
129,1,3,7,2026-01-24,4,9.77,46.58,8,App,Yape,5,33.91,OK
