id_produccion,id_parcela,id_cultivo,id_zona,fecha_operacion,cantidad_jornales,hectareas,costo_insumo,descuento_pct,canal,metodo_pago,calificacion,rendimiento_kg,observacion
1,55,6,7,2026-03-02,3, 3.92 , 918.69 ,8,Presencial,,1,1657.91,OK
2,80,2,7,2026-05-23,4,6.21,722.17,0 aprox,Telefono,Yape,5,2124.72,Promocion
3,70,8,2,2026/05/09,4,1.51,573.46,15,App,Plin,4,692.99,Cliente frecuente
4,28,1,1,2026-04-17,5,5.47,904.42,15,,Plin,3,1754.43,OK
5,3,3,1,2026-04-06,2,"5,64",676.84,0,Telefono,Tarjeta,1,1825.65,Revisar
6,18,9,7,14/05/2026,2 aprox,11.59,"664,25",12,Telefono,Transferencia,,3897.25,OK
7,56,8,7,,3,1.89, 573.46 ,8,Web,Transferencia, 3 ,1021.91,
8,42,9,3,2026-02-04,8,5.99,664.25,0,WhatsApp,Plin,1,2528.44,Promocion
9,67,8,2,2026-04-27,2,10.16 aprox,573.46,0,Presencial,Yape,2,3520.15,
10,82,4,5,2026-02-07,6,8.93,S/ 1637.63,5,WhatsApp,TARJETA,2,3190.01,cliente frecuente
11,55,3,2,2026-01-23,7,,676.84,5,  Presencial ,  Plin , 1 ,1677.33,Revisar
12,82,7,5,,3, 2.09 ,S/ 1011.39,15,App,transferencia, 1 ,996.53,Revisar
13,25,8,2,2026-02-09,8,4.42,573.46,0,Telefono,Efectivo,3,,Cliente frecuente
14,3,9,2,2026-01-04,2,10.39,664.25,0,Telefono,Efectivo,2,3579.36,
15,57,7,1,2026-06-09,3,5.24,"1011,39",0,Web,Yape,3, 1561.28 ,promocion
16,20,7,5,2026-02-15,5,6.81,,0,Presencial,Yape,1,2238.57,OK
17,51,4,7,2026-06-07,6,0.64,1637.63,5,Telefono,Yape,2,720.25,Cliente frecuente
18,14,6,5,2026-06-27,7,7.86,918.69, 10 ,WhatsApp,PLIN,1,2707.56,OK
19,42,9,2,2026-02-20,2,2.39,664.25,0,telefono,Tarjeta,2,1257.48,
20,84,9,5,2026-06-27,8, 8.12 ,664.25,5,Web,Tarjeta,5,2797.76,Revisar
21,16,1,7,2026-01-27,3,1.11,904.42,8,App,Tarjeta,1,383.74,
22,29,1,2,2026-03-27,1,9.82,904.42,0 aprox,Presencial,Yape,2,3428.27,Cliente frecuente
23,82,9,2,2026-05-08,7,5.06,664.25,0,Presencial,Tarjeta,4,1974.81,
24,29,6,5,2026-05-24,5,3.85,918.69,0,Web,Efectivo,4,1303.32,
25,38,8,1,2026-04-18,4 aprox,1.22,573.46,20,Presencial,Plin,3,560.32,Promocion
26,42,9,7,25-05-2026,7,9.34,664.25,8 aprox,Presencial,Plin,4,3000.77,
27,57,2,1,28-06-2026,5,4.34,722.17,0 aprox,Telefono,  Efectivo ,1,1590.32,OK
28,67,6,1,2026-04-16,6,8.38,918.69,5,WhAtSaPp,Yape,2,3024.5,
29,39,8,4,2026-03-20,7,6.38 aprox,573.46,10,Presencial,Efectivo,5,2168.54,Revisar
30,82,8,4,,5,"6,76",573.46,0,TELEFONO,Yape,4,2351.18,Revisar
31,84,9,1,27-01-2026,5,11.56,664.25,15,App,Efectivo,1,3560.3,
32,58,2,3,25-06-2026, 4 ,15.22,722.17,5,WhatsApp,Tarjeta,1,5441.56,Promocion
33,48,2,4,2026-01-15,8,6.0,722.17,20,WhatsApp,Plin,1,5648.92,Revisar
34,49,8,6,2026-02-28,1,6.02,573.46,8,Presencial,Transferencia, 5 ,2364.87,Cliente frecuente
35,58,9,1,2026-01-13,8,6.04,664.25,8,WhatsApp,PlIn,4, 2144.55 ,Promocion
36,17,1,5,2026-06-22,5,1.41,904.42,0,TeLeFoNo,Tarjeta,2,669.36,Cliente frecuente
37,23,3,1,2026-06-16,2,2.01,676.84,5,Web,Plin,2,635.04,
38,6,7,1,2026-06-14,3,2.29,1011.39 aprox,0,Telefono,Yape,2,842.67,
39,51,9,7,2026-05-09,4,4.38,"664,25",0,Telefono,Transferencia,2,1594.47,OK
40,82,2,1,2026-05-14,2,"2,95","722,17",20,Web,Transferencia,5,999.49,
41,5,3,4,2026-01-16,2,0.95,676.84,0,Presencial,,4,"410,73",
42,85,9,6,2026-05-14,6,7.4,664.25,10,WhatsApp,  Efectivo ,4,2556.61,OK
43,41,2,7,2026/01/18,3,1.72,722.17,12,Telefono,Efectivo,1,873.96,Promocion
44,9,8,6,2026-01-27,3,2.24 aprox,573.46,0,App,Efectivo,,,Promocion
45,71,7,6,15-04-2026,2,3.6,1011.39,0,Presencial,Yape,3,1304.64,Revisar
46,74,1,5,2026-06-20, 4 , 10.04 ,904.42,8,WhatsApp,EFECTIVO,5,3096.75,
47,54,3,7,2026/01/27,1,1.4,676.84,15,  Web ,Plin,3,525.99,
48,53,7,4,2026-02-13,6,1.79,1011.39,8,App,Efectivo,5,882.21,OK
49,72,8,2,2026-05-27,3,4.74,573.46,0,Telefono,Yape,2,1704.34,Promocion
50,82,9,5,2026-05-18,3,1.41,S/ 664.25,0,Presencial,Efectivo,1,571.1,Revisar
51,85,9,6,2026-05-14,6,7.4,664.25,10,WhatsApp,  Efectivo ,4,2556.61,OK
52,10,4,2,2026-02-21,5,3.04,1637.63,0,Web,Transferencia,1, 1070.97 ,Promocion
53,50,2,6,2026-06-05,5,10.11,722.17,0,PrEsEnCiAl,Yape,3,3296.12,Revisar
54,78,6,7,2026-03-04, 4 ,3.83,918.69,0,Web,Transferencia,3,1437.63,
55,29,3,7,2026-04-27,3,8.98,676.84,20,App,Tarjeta,4,3069.9,Cliente frecuente
56,12,7,7,2026-05-23,1,5.41,1011.39,5,  WhatsApp ,Transferencia,2,1778.32,
57,25,7,7,2026-06-16,6,3.09,,10,Telefono,Tarjeta,5,1447.47,Promocion
58,67,3,1,2026-01-22,6 aprox,6.95,676.84,15,PRESENCIAL,Efectivo, 1 ,2414.15,ok
59,33,4,5,2026-06-15,3,10.28,S/ 1637.63,5,  WhatsApp ,Efectivo,1,3658.25,
60,1,3,4,2026/02/22,6,10.8,S/ 676.84,8,,Efectivo,3,3236.74,
61,3,3,3,2026-03-10,5,3.96,676.84,0,Presencial,Plin,1,1519.27,
62,82,2,1,2026-04-28,7,6.85,722.17,0,WEB,Transferencia, 4 ,2296.06,Cliente frecuente
63,5,9,5,2026-01-23,3, 3.54 ,664.25,20,Web,Plin,3,1287.76,Cliente frecuente
64,58,4,5,2026-03-23,4,8.29,1637.63,20 aprox,App,Tarjeta,2,2647.11,OK
65,53,3,4,2026-03-03,3,4.16, 676.84 ,15,Telefono,Plin,3,1268.57,
66,71,4,4,2026-03-05,7,,S/ 1637.63,8,App,,4,1677.94,
67,27,6,7,2026-05-25,7,1.69,918.69 aprox,8,WhatsApp,Transferencia,1,1035.02,
68,61,9,7,2026-01-25,2,1.16,664.25,0,ApP,Efectivo,2,480.59,Cliente frecuente
69,36,2,5,03/04/2026,4,4.17,722.17,0,Presencial,Transferencia,1,1351.01,
70,74,7,7,21-03-2026,,6.31,1011.39,0,Web,  Plin ,5,S/ 2389.5,
71,62,5,5,2026-01-23,8,2.97,1301.39,8,App,Plin,4,1272.92,  OK 
72,76,3,1,2026-06-03, 5 ,0.86,676.84,15,App,,4,327.08,
73,70,1,4,2026-01-10,5,0.53,904.42,15,WhatsApp,  Efectivo ,1,,Promocion
74,26,8,6,2026-04-09, 1 ,5.35,573.46,15,Web,efectivo,4,2040.22,OK
75,62,9,1,2026-02-08,2,10.33,664.25,20,Web,EFECTIVO,2,3344.52,Revisar
76,48,1,2,2026-06-18, 5 ,9.46 aprox, 904.42 ,15,WhatsApp,Tarjeta,3,3359.25,Promocion
77,58,8,2,2026/04/19,1,5.22,573.46,5,WhatsApp,Yape,2,1491.74,OK
78,76,4,1,2026-04-16,7,4.41,1637.63,5,Web,Efectivo,3,1774.18,Promocion
79,22,3,1,2026-04-06,4,"5,59",676.84,10,Web,Plin,1,1877.41,Cliente  frecuente
80,48,9,1,2026-04-12,5,7.51,,20,WhatsApp,Plin,2,2573.66,Revisar
81,84,2,3,2026-02-01,1,0.67,722.17,0,Web,Yape,5,337.67,Promocion
82,42,6,7,2026-01-20,6,1.81,"918,69",12,  App ,Tarjeta,2,656.09,Cliente frecuente
83,28,4,3,2026-03-19,5,4.91,1637.63 aprox,12,Telefono,Tarjeta,2,2035.36,Promocion
84,60,6,7,2026-04-10,3,7.43,918.69,12,WhatsApp,Yape,4,2543.68,OK
85,82,2,1,2026-04-28,7,6.85,722.17,0,WEB,Transferencia, 4 ,2296.06,Cliente frecuente
86,4,8,6, 2026-05-01 ,3,5.04,573.46,10,Presencial,Tarjeta,1,1722.99,Promocion
87,67,7,4, 2026-02-28 ,1,6.04,S/ 1011.39,,WhatsApp,plin,4,2100.18,
88,9,2,5,2026-06-13,1,4.02,722.17,12,Telefono,Yape,3,1708.94,Promocion
89,23,6,5,2026-03-26,7,1.2, 918.69 ,8,Web,Plin,3,450.39,Promocion
90,58,6,7,2026-05-07,6 aprox,,918.69,0,Web,Tarjeta,4,3520.89,OK
91,25,6,4,2026-06-05,6,2.83,918.69,20,App,Tarjeta,5,1203.83,Cliente frecuente
92,9,4,2,2026-02-08,6,10.27,1637.63,15,Presencial,Tarjeta,1,3674.68,
93,62,5,6,2026-05-13,2,7.19,1301.39,0,WhatsApp,Efectivo,1,2518.31,Revisar
94,30,3,4,2026-06-16,2,2.0,676.84,0,ApP,Plin,,794.96,
95,78,2,4,2026-01-13,3,8.55,722.17,,WhatsApp,Plin,5,3372.11,  OK 
96,27,8,6,14/01/2026,4,4.71,573.46, 15 ,WhatsApp,  Plin ,4,1532.43,Cliente frecuente
97,27,2,5,2026-01-20,2,6.62 aprox,722.17,20,Presencial,Plin,1,2362.81 aprox,Revisar
98,33,1,7,2026-06-12,5,3.67,904.42,0,Web,  Transferencia ,4,1289.75,Revisar
99,52,4,2,2026-03-28,6,2.98,1637.63,10,whatsapp,Efectivo,4,1172.49,
100,20,7,2,2026-02-13,2,7.29,1011.39,15,WhatsApp,Yape,2,2562.55,OK
101,2,2,2,2026-05-04,2,47.87,722.17,15,Telefono,Tarjeta,5,14860.64,Revisar
102,64,9,6,,7,9.76,664.25,12,web,Efectivo,3,3091.6,OK
103,48,7,6,2026-01-06,5,11.64,1011.39,10,,Plin,3,3689.37,
104,25,4,1,2026-04-03,7,9.73 aprox,1637.63,5,Web,Efectivo,5,3433.7,Promocion
105,82,4,1,2026-02-05,5,11.5,1637.63,15,App,  Tarjeta ,3,3790.66,
106,29,5,4,2026-01-19,3,11.84,1301.39,0,Telefono,Plin,4,3910.5,Cliente frecuente
107,17,8,1,13-05-2026,1, 10.15 ,573.46,15,  WhatsApp ,Efectivo,2,3586.85,Cliente frecuente
108,29,7,6,2026-03-11,8 aprox,6.62,,0,Presencial,Plin,5,,Cliente frecuente
109,23,4,6,02-03-2026,1,1.74,1637.63,5,Presencial,Plin,5,880.42,Revisar
110,82,2,1,2026-04-28,7,6.85,722.17,0,WEB,Transferencia, 4 ,2296.06,Cliente frecuente
111,30,9,6,2026-01-25,2,5.47,664.25,15 aprox,,Plin,4,2170.1,OK
112,83,2,1,2026-05-22,8,4.65, 722.17 ,12,Telefono,Transferencia,,1614.78,Revisar
113,65,9,1,2026-04-23,7,6.0,664.25,12,App,Transferencia,3,2271.96,Cliente frecuente
114,28,4,5,2026-04-26,,6.82,1637.63,0,,Yape,1 aprox,2873.54,
115,85,9,1,2026-04-22,1,1.29,664.25,20,Presencial,Efectivo, 5 , 481.04 ,OK
116,24,4,3,2026-06-10,4,10.66,1637.63,10,Presencial,Yape,4,3724.79,Revisar
117,61,1,7,2026-06-14,7,3.66,,5,Presencial,Plin,5,1186.7,
118,49,4,7,06-05-2026,2,"9,98",1637.63,15,Telefono,Efectivo,5,3460.88,Promocion
119,69,9,2,2026-01-18,2,7.89,664.25,20,Presencial,Transferencia,1,2348.49,Cliente frecuente
120,8,6,2,2026-06-01,6,6.81 aprox,S/ 918.69,8,WeB,Tarjeta,1,2552.66,Cliente frecuente
121,2,6,4,2026-06-21,, 7.25 ,918.69,0,Telefono,Yape,2 aprox,2642.61,
122,82,3,2,2026-04-01,7,7.98,676.84,0,App,Transferencia,5,2591.33 aprox,OK
123,5,3,3,2026-02-12,1,3.42,676.84,5,Presencial,Efectivo,2,1259.17,Promocion
124,46,1,7,2026-06-17,5,8.28,904.42,0,Presencial,Plin, 3 ,3131.18,Promocion
125,55,7,1,2026-02-16,5,9.91,1011.39,20,Telefono,Yape,4,3259.1,Revisar
126,34,7,4,2026-03-17,6,9.01,1011.39,20,WhatsApp,Plin,4,3510.72,Cliente frecuente
127,62,6,2, 2026-03-02 ,2,2.83, 918.69 ,5,Web,Transferencia,2, 1115.9 ,
128,78,9,4,2026-05-13, 2 ,6.1,664.25,5,TeLeFoNo,TRANSFERENCIA,3,2068.15,Revisar
129,11,8,3,2026-03-20,5,7.85,573.46,12,,Efectivo,5,2792.35,Cliente frecuente
130,83,4,6,2026-05-18,3,11.05,1637.63,20,App,TARJETA,1,3276.25,Cliente frecuente
131,68,6,2,2026-04-12,8,7.34,918.69,12,App,Transferencia,4,2480.98,Cliente frecuente
132,32,3,1,2026-01-23,4,,676.84,20,Web,Efectivo,2,3645.14,Promocion
133,76,7,7, 2026-04-18 ,1,7.15,1011.39,12 aprox,WhatsApp,  Transferencia ,1,,CLIENTE FRECUENTE
134,59,3,2,2026-06-24,2,"0,59",676.84,8,App,Plin, 4 ,413.07,Cliente frecuente
135,33,5,2,2026-03-22,6,1.74,1301.39 aprox,15,App,TrAnSfErEnCiA,4,878.81,Cliente  frecuente
136,57,1,5,2026-04-18,8,"10,12",S/ 904.42,12,Web,Tarjeta,,3515.14 aprox,Cliente frecuente
137,48,9,5,2026-01-18,5,2.58,664.25,15,WhatsApp,Tarjeta,1,1263.99,PROMOCION
138,17,2,6,2026-03-09,6,6.66,722.17,0,WhatsApp,Plin,3,2449.2,Revisar
139,9,9,1,2026-06-05,1,9.96,664.25,10,Web,Plin,2, 3399.14 ,
140,24,7,6,2026-01-12,3,6.7,1011.39,8,Telefono,Tarjeta,1 aprox,2227.84,Revisar
141,67,9,3,2026-02-16,4,9.84,S/ 664.25,10,Telefono,Plin,1,3347.59,Promocion
142,34,5,3,2026-02-26,,11.06,1301.39,0,Web,Plin,3,3945.3,Cliente frecuente
143,2,2,2,2026-04-26,8,6.26,S/ 722.17,12,Telefono,YAPE,4,2253.21,promocion
144,24,5,3,2026-03-23,7,6.48,1301.39 aprox,0,WhatsApp,plin,5,2264.1,Cliente frecuente
145,54,6,7,2026-04-07,2,1.18,918.69,12,WhatsApp,Transferencia,3,291.51,Promocion
146,65,1,4,2026-06-21,1,6.94,904.42,10,telefono,TARJETA,3,2587.6,
147,16,5,2,2026-04-07,4,9.42,1301.39,0,WhatsApp,Transferencia,5,S/ 3159.88,Cliente frecuente
148,20,2,5,2026-04-22,2,5.1,722.17, 12 ,Web,Tarjeta,,2242.47,Revisar
149,38,5,5,2026-05-01,1,"5,62",1301.39,15,,Efectivo,1,2050.42,Revisar
150,58,5,7,2026/03/13,3,1.61,1301.39,8,App,Efectivo,5,909.09,Cliente frecuente
151,9,1,2,2026-04-08,8,1.5,904.42,10,Web,Transferencia,1, 678.55 ,Promocion
152,44,8,5,2026-01-08,4,0.59,573.46,20,app,Plin,5,681.52,Revisar
153,83,9,2,2026-01-07, 2 ,5.65,664.25,5,Telefono,Tarjeta,4,1942.83,
154,79,7,3,2026-01-15,2,9.97,1011.39,0,WhatsApp,Plin,5,3449.25,
155,45,3,6,2026-03-11,8,,,0,App,Transferencia,5 aprox,1841.85,
156,22,5,3,2026-06-13,1,4.2,1301.39,20,Web,Transferencia,4,1588.98,OK
157,25,7,5,2026-05-19,1,3.7,1011.39,0,WhatsApp,  Transferencia ,1,1483.28,
158,45,6,5,2026-06-27,1,6.93,918.69,8,Telefono,Tarjeta,1,2555.54,
159,42,3,2,2026-06-12,1,"5,24",676.84,8,App,Efectivo,2,2078.36,Cliente frecuente
160,19,5,1,2026-05-19,7,4.91,1301.39,0,  Telefono ,Yape,5,2041.83,Revisar
161,39,5,2,2026-06-23,6,8.64 aprox,1301.39,10,WhatsApp,Plin,3,2994.19,Revisar
162,48,6,1,2026-03-25,2,10.87,918.69,5,App,Plin,1,3471.23,Revisar
163,61,3,1,15-05-2026, 2 ,8.84,676.84,5,Telefono,Efectivo,3,3039.14,
164,34,8,4,2026-02-14,1,10.29,573.46,10,App,Plin,5,3063.84,
