id_venta,id_cliente,id_producto,id_tienda,fecha_operacion,cantidad_unidades,precio_venta_unitario,costo_unitario,descuento_pct,stock_inicial,stock_final,merma_unidades,canal,metodo_pago,monto_venta_soles,margen_venta_soles,observacion
1,84,7,4,2026-01-22,67,15.06,10.04,8,82,15,0,Mostrador,Tarjeta,375.18,,Promocion
2,68,10,4,2026-01-04,37,9.42,5.94,8 aprox, 223 ,186,0,WhatsApp,Efectivo,270.35,181.56,Revisar stock
3,13,12,6,2026-02-13,8,S/ 5.44,S/ 3.46,0,98,87,3 aprox,Mostrador,Efectivo,80.64,50.32,Revisar stock
4,46,3,3,06/06/2026,44,"12,76",8.24,3,167,123,0,Telefono,Tarjeta,430.38,261.86,Promocion
5,59,10,2,2026-02-19,61,9.28,5.96,0,180,118,1,Mostrador,Yape,460.04,268.68,Promocion
6,3,1,3,2026-01-09,21,28.91,19.0,10,176,155,0,Mostrador,Tarjeta,198.6, -9.56 ,
7,21,11,6,2026-01-04,55,7.18, 4.89 ,10,127,72,0,WhatsApp,Efectivo,499.65,408.34,OK
8,19,8,3,2026-01-13,51,2.76,1.6,3,265,214,0,WhatsApp,Efectivo,324.68,302.75,Revisar stock
9,77,10,6,2026-03-21,48,9.31,5.82 aprox,0,184,136,0,Telefono,Yape,334.42,206.12,
10,13,12,6,2026-02-13,8,S/ 5.44,S/ 3.46,0,98,87,3 aprox,Mostrador,Efectivo,80.64,50.32,Revisar stock
11,47,1,2,2026-04-11,59,26.98,19.09,0, 126 ,67 aprox,0,Mostrador,Plin,506.38,-46.44,promocion
12,67,3,2,2026-06-02,38,12.34,7.81,8,61,22,1,Delivery local,PLIN,271.35,107.03,
13,76,2,4,11/01/2026,43,S/ 4.84,3.27,0,215, 172 ,0,Delivery local,TRANSFERENCIA,340.89,251.74,Revisar  stock
14,69,4,4,19-03-2026,8,3.61,2.21,0,59,51,0,WhAtSaPp,Tarjeta,96.31,49.8,Cliente frecuente
15,90,5,3,2026-05-17,42,5.41,3.25,10,207,165,0,DeLiVeRy lOcAl,Yape,318.91,291.97,Cliente frecuente
16,4,11,3,2026-04-09,49,7.83,4.86,0,189,139,1,Delivery local,Plin,353.01,228.19,
17,7,6,1,2026-05-01,53,7.15,4.31, 0 ,252,198,1,WhatsApp,Plin,377.84,261.14,Promocion
18,59,3,2,2026-01-18,27,13.44,8.38,3,109,82,0,Delivery local,Yape,177.01,43.29,Revisar stock
19,17,10,4,2026-02-09,15,9.87,5.65,0,224,209,0,Mostrador,Tarjeta,97.25,52.97,Revisar stock
