id_venta,fecha,id_cliente,id_producto,id_local,cantidad,metodo_pago
1,2026-04-01,1,1,1,20,Efectivo
2,2026-04-01,2,3,2,4,Yape
3,2026-04-01,3,5,3,2,Tarjeta
4,2026-04-02,1,4,1,1,Tarjeta
5,2026-04-02,4,2,2,12,Efectivo
6,2026-04-02,5,6,1,3,Yape
7,2026-04-03,2,1,2,15,Efectivo
8,2026-04-03,6,3,3,2,Yape
9,2026-04-03,3,4,3,2,Tarjeta
10,2026-04-04,4,5,2,4,Yape
11,2026-04-04,5,1,1,25,Efectivo
12,2026-04-04,6,2,3,10,Tarjeta
13,2026-04-05,1,3,1,3,Efectivo
14,2026-04-05,2,6,2,2,Yape
15,2026-04-05,3,1,3,18,Efectivo
16,2026-04-06,4,4,2,1,Tarjeta
17,2026-04-06,5,5,1,2,Yape
18,2026-04-06,6,3,3,4,Efectivo
